id,nume,lat,lng
347,Targsoru Nou,44.9162355,25.8768879
348,Aricestii Zeletin,45.2177889,26.1813093
349,Albinari,45.2119017,26.1695502
350,Baba Ana,44.9686148,26.4601046
351,Ciresanu,44.9806882,26.5119388
352,Conduratu,44.9709526,26.4306163
353,Crangurile,44.7484722,25.24668
354,Satu Nou (Baba Ana),44.9565344,26.5336269
355,Balta Doamnei,44.7576377,26.1703131
356,Bara,44.750812,26.2384089
357,Curcubeu,44.7650876,26.1500867
358,Lacu Turcului,44.7630535,26.2189544
359,Baltesti,45.1,26.133333
360,Izesti,45.1133054,26.1452338
361,Podenii Vechi,45.084162,26.1136676
362,Banesti,45.0860886,25.7875691
363,Urleta,45.0817506,25.7951955
364,Barcanesti,44.883333,26.05
365,Ghighiu,44.8998368,26.0744302
366,Puscasi,44.8504875,26.0931027
367,Romanesti,44.8555419,26.072452
368,Tatarani,44.89331,26.0375075
369,Berceni,44.933333,26.1
370,Cartierul Dambu,44.9243682,26.0708329
371,Catunu (Berceni),44.9011954,26.1349313
372,Corlatesti,44.9118041,26.0891039
373,Moara Noua,44.9478449,26.1046768
374,Bertea,45.233333,25.866667
375,Lutu Rosu,45.2540295,25.8245994
376,Blejoi,44.9757112,25.99576
377,Ploiestiori,44.9749132,26.024569
378,Tantareni,44.9649863,26.0346028
379,Boldesti-Gradistea,44.866667,26.55
380,Boldesti,44.8643564,26.5529241
381,Gradistea,44.8890403,26.513989
382,Brazi,44.883333,26
383,Batesti,44.8436824,26.0421572
384,Brazii de Jos,44.8507992,26.0333732
385,Brazii de Sus,44.8735435,26.0063965
386,Negoiesti,44.8735578,25.9808407
387,Popesti (Brazi),44.8608763,25.9920736
388,Stejaru,44.8441161,25.9767184
389,Colonia Brazi,44.883333,26
390,Brebu,45.183333,25.766667
391,Brebu Megiesesc,45.17517,25.7651697
392,Pietriceaua,45.2211903,25.8076628
393,Podu Cheii,45.2080827,25.7505449
394,Brebu Manastirei,45.1840537,25.7697992
395,Bucov,44.966667,26.083333
396,Bighilin,44.9961714,26.1135135
397,Chitorani,44.9774625,26.1287777
398,Pleasa,45.0040015,26.0687988
399,Valea Orlei,44.9747807,26.1142875
400,Calugareni,45.083333,26.3833331
401,Valea Scheilor,45.0740257,26.4006918
402,Carbunesti,45.233333,26.1999999
403,Gogeasca,45.2433757,26.1716165
404,Ceptura,45.016667,26.333333
405,Ceptura de Jos,45.0114551,26.3277294
406,Malu Rosu,45.0626347,26.3242235
